Ticker,Date,Prix de Clôture,Prix d'Ouverture,Plus Haut,Plus Bas,Volume,Source
AAPL,2024-01-15,150.00,148.50,151.20,148.00,85000000,YahooFinance
AAPL,2024-01-16,152.30,150.50,153.00,150.00,92000000,YahooFinance
AAPL,2024-01-17,151.80,152.00,153.50,151.00,88000000,YahooFinance
MSFT,2024-01-15,380.00,378.00,382.50,377.50,45000000,YahooFinance
MSFT,2024-01-16,385.20,381.00,386.00,380.50,48000000,YahooFinance
MSFT,2024-01-17,383.50,384.00,387.00,382.00,46000000,YahooFinance
GOOGL,2024-01-20,140.00,138.50,141.00,138.00,35000000,YahooFinance
GOOGL,2024-01-21,142.50,140.00,143.00,139.50,38000000,YahooFinance
BTC-USD,2024-02-01,45000.00,44500.00,45500.00,44200.00,0,CoinGecko
BTC-USD,2024-02-02,46200.00,45100.00,46800.00,44900.00,0,CoinGecko
BTC-USD,2024-02-03,45800.00,46000.00,47000.00,45200.00,0,CoinGecko
ETH-USD,2024-02-01,2500.00,2480.00,2520.00,2470.00,0,CoinGecko
ETH-USD,2024-02-02,2580.00,2510.00,2600.00,2500.00,0,CoinGecko
BND,2024-01-10,75.00,74.80,75.20,74.70,5000000,YahooFinance
BND,2024-01-11,74.85,75.00,75.10,74.60,4800000,YahooFinance
VTI,2024-01-15,220.00,219.50,221.00,219.00,8000000,YahooFinance
VTI,2024-01-16,222.50,220.50,223.00,220.00,8500000,YahooFinance
SPY,2024-01-10,450.00,448.00,452.00,447.50,95000000,YahooFinance
SPY,2024-01-11,453.20,450.50,454.00,450.00,98000000,YahooFinance
GLD,2024-01-25,185.00,184.00,186.00,183.50,12000000,YahooFinance
GLD,2024-01-26,186.50,185.50,187.50,185.00,13000000,YahooFinance
